,name,rating,review_count,company_type,headquarters,salaries_count,interview_count
188,Aditya Birla Sun Life Insurance,N/A,4.3k,Insurance,Mumbai +538 other locations,10.9k,201
189,HDFC ERGO General Insurance,N/A,4.4k,Insurance,Mumbai +340 other locations,12.3k,223
190,Cummins,N/A,4.3k,Industrial Machinery,Pune +126 other locations,15.8k,306
191,Grasim Industries,N/A,4.3k,Building Material,Bharuch +282 other locations,13.8k,308
192,John Deere,N/A,4.3k,Industrial Machinery,Pune +168 other locations,16k,282
193,Alembic Pharmaceuticals,N/A,4.3k,Pharma,Vadodara +196 other locations,15.8k,279
194,Cloudnine Hospital,N/A,4.3k,Healthcare,Bengaluru +49 other locations,3.3k,1.7k
195,Publicis Sapient,N/A,4.3k,IT Services & Consulting,Bengaluru +47 other locations,33.5k,729
196,Tata Communications,N/A,4.3k,Telecom,Pune +107 other locations,23.9k,314
197,Pidilite Industries,N/A,4.3k,Chemicals,Mumbai +342 other locations,12.4k,279
198,Kogta Financial India Limited,N/A,4.3k,NBFC,Jaipur +262 other locations,2.1k,252
199,Kyndryl,N/A,4.2k,IT Services & Consulting,Bengaluru +49 other locations,29.1k,249
